worker_id_anon	ref_id	ref_len	sys_id	candidate	NLL	human_score	gm
0	24	20	3 10 16 28 29 30	If my son came back and your father wasn't home, it'd be better if you didn't let him in.	0.396	95	2
0	24	20	24 27	If my boy came back and your father wasn't home, it would be better if you didn't allow him inside.	0.792	96	2
0	24	20	1 6 8 13 22 34	If my boy came back and your father wasn't home, it'd be better if you didn't let him in.	0.537	95	2
0	24	20	15 18	If my son came back and your father wasn't home, it'd be better if you didn't let him inside.	0.534	95	2
0	24	20	31	If my son came home and your father wasn't home, it might be better if you didn't let him in.	0.538	91	2
0	110	20	31	San Oristóbal is... you're gonna go this way, you're gonna turn up, and you're un - San Oristóbal.	1.027	58	2
0	110	20	32	The San Oristóbal is... you're gonna go this way, you're gonna turn up, and there's San Oristóbal a little farther.	0.773	72	2
0	110	20	35	San Oristóbal is... you'll go this way, you'll turn up, and there's San Oristóbal a little farther.	-1	73	2
0	110	20	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 33 34	San Oristóbal is... you're gonna go this way, you're gonna turn up, and there's San Oristóbal a little farther.	0.719	74	2
0	110	20	30	San Oristóbal is... you're gonna go this way, you're gonna turn up, and you're a little way down San Oristóbal. por favor.	1.078	65	2
0	122	40	3 10 15 16 18 23 25 28 32 33 34	Technically, of course, it was beyond the scope of his right when he left the border of Ankh - Morpork, but the law is everywhere where people recognize it, and in those days, the City Watch badge would have awakened respect all over the Plains, though he would no longer have any cooperation.	0.702	73	2
0	122	40	31	Technically, of course, it was beyond the scope of his right when he left the border of Ankh - Morpork, but the law is everywhere where people recognize it, and in those days the City Watch badge would have earned respect all over the Plains, though he wouldn't have done anything to work around the Plains.	0.781	54	2
0	122	40	4 7	Technically, of course, it was beyond the scope of his right when he left the border of Ankh - Morpork, but the law is everywhere where people recognize it, and in those days, the City Watch badges would have attracted respect all over the Plain, though he would no longer have any cooperation.	0.816	74	2
0	122	40	35	he was, of course, out of the reach of his right, of course, when he left the Ankh-Morpork border, but the law is where people recognize him, and these days, the City Watch badge would have aroused respect everywhere on the Beach, even though he would not have secured cooperation everywhere.	-1	49	2
0	122	40	8 13	Technically, of course, it was beyond the scope of his right when he left the border of Ankh - Morpork, but the law is everywhere where people recognize it, and in those days, the City Watch badge would have awakened respect all over the Plaza, though he would not have done so any longer.	0.778	49	2
0	137	40	16 19	This will be further enhanced through the promotion of interdisciplinary experiences through the active participation of industry across all actions and through the introduction of a specific knowledge - sharing mechanism between the public and private sectors, including particularly small and medium - sized enterprises (SMEs).	0.64	92	2
0	137	40	35	this will extend further by supporting inter-branch experience through active involvement of industry at all events, and the introduction of a specific knowledge-sharing mechanism in partnership between public and private sectors, including SMEs, in particular.	-1	92	2
0	137	40	10 13	This will be further enhanced through the promotion of interdisciplinary experiences through the active participation of industry in all actions and through the introduction of a specific knowledge - sharing mechanism between the public and private sectors, including in particular small and medium - sized enterprises (SMEs).	0.517	92	2
0	137	40	34	This will further be enhanced by promoting interdisciplinary experience through the active participation of industry in all actions and by establishing a specific mechanism for sharing knowledge in partnerships between the public and private sectors, including in particular SMEs.	0.435	94	2
0	137	40	32	In addition, this will be enhanced by promoting interdisciplinary experiences through the active participation of industry in all actions and by establishing a specific mechanism for sharing knowledge in partnerships between the public and private sectors, including in particular small and medium - sized enterprises.	0.481	92	2
0	130	40	15 18 22	Your nonsensical peccadillos, as you refrain from writing on a noiseless typewriter, I am horribly harassed, but such idiotic accusations, as you lied in the report Mr. Pine, have changed my mind in that regard.	0.652	84	2
0	130	40	1 3 6 8 10 13 16 23 25 28 33 34	Your nonsensical peccadillos, like you refuse to write on a noiseless typewriter, are annoying me, but such idiotic accusations, as you lied in a report to Mr. Pine, have changed my mind in that regard.	0.547	85	2
0	130	40	24	Your nonsensical peccadillos, like you refuse to write on a noiseless typewriting machine, are annoying me, but such idiotic accusations, as you lied in a report to Mr. Pine, have changed my mind in that regard.	0.634	86	2
0	130	40	17 19	Your nonsensical peccadillos, like you refuse to write on a noiseless typewriter, are annoying me, but such idiotic accusations, as you have lied to Mr. Pine, have changed my mind on that point.	0.598	87	2
0	130	40	2 4 5 7 9 11 12 14	Your nonsensical peccadillos, like you refuse to write on a noiseless typewriter, are annoying me, but such idiot accusations, as you lied in a report to Mr. Pine, have changed my mind in that regard.	0.588	77	2
0	121	40	8 13	The Member States concerned shall cooperate with the European Coordinator and provide it with the information needed to carry out its tasks under this Article, including information on the development of corridor in the relevant national infrastructure plans.	0.508	91	2
0	121	40	32 33	Member States concerned shall cooperate with the European Coordinator and provide it with the information needed to carry out tasks under this Article, including information on the development of corridors in the relevant national infrastructure plans.	0.413	88	2
0	121	40	1 6	The Member States concerned shall cooperate with the European Coordinator and provide it with the information needed to carry out the tasks referred to in this Article, including information on the development of the corridor in the relevant national infrastructure plans.	0.463	92	2
