ref_id	ref_sent	ref_len	czeng_s
0	I am at your service.	5	4.316
1	You people think of everything.	5	0.868
2	Not even my father dares.	5	0.58
3	My duty is to heal.	5	1.143
4	There's nothing without a woman.	5	0.621
5	This is highly irregular procedure!	5	0.985
6	It didn't mean anything, okay?	5	0.511
7	He's getting out of hand	5	0.104
8	She's having a baby, okay?	5	0.478
9	The greatest of all things.	5	0.134
10	And when she looked behind her, I'd always be there	10	0.242
11	I think thought, mathematical thought, can exist completely without words.	10	0.47
12	If I didn't come with you,none of this would've happened.	10	0.769
13	4.7 Public understanding, involvement and acceptance – information and transparency.	10	1.45
14	"I ""went out for ice cream"" once with your dad."	10	1.381
15	I think your two best friends are a little chatty.	10	3.308
16	She hid his football, so he snatched her favorite hat.	10	3.031
17	"But you find the doc and he'll fix you up."""	10	1.645
18	Didn't you tell my brother that he was expected here?	10	2.619
19	A couple of old friends got into town, from Stockholm.	10	1.358
20	It will give priority to initiatives that will help achieve the MDGs and increase the availability of global public goods.	20	2.311
21	'Cause I'm one funny man I bring the comedy I am the one you go to, to get cheered up	20	1.952
22	We've just learned that the letter we believed to be from the Caveman... ...is, in fact, a very clever forgery.	20	1.419
23	They should widely publicise, when duly validated, data and findings on their biological effects, be they positive, negative or null.	20	0.719
24	If my son should come back and your father isn't here... ...it might be betterif you didn't let him in.	20	0.482
25	(46) The applicant argued that the model sold in the analogue country had higher specifications which affected the price comparability.	20	0.854
26	DOB: 1952 Former Minister of Justice (2009-2013), former Isfahan governor-general and director of the State Prisons Organisation (until June 2004).	20	1.727
27	The recommended starting dose is 60 mg three times daily before meals, particularly in patients who are near goal HbA1c.	20	0.915
28	Objectives Maximum aid intensity in % or Maximum aid amount in national currency SME-bonuses in % Specific training (Art. 38(1))	20	1.39
29	But the [mighty] blast did seize the wrong- doers, and they lay prostrate in their homes by the morning,- 95.	20	0.623
30	Reservations contained in the declarations of the Directors-General In their declarations attached to the annual activity reports, the Directors-General state that the internal controls carried out in their departments offer reasonable assurance that the underlying transactions are legal and regular.	40	1.996
